Noctua_fimbriata_ShxA8	ShxA
Noctua_fimbriata_ShxA9	ShxA
Noctua_fimbriata_ShxA10	ShxA
Noctua_fimbriata_ShxA11	ShxA
Noctua_fimbriata_ShxA12	ShxA
Noctua_fimbriata_ShxA13	ShxA
Noctua_fimbriata_ShxA14	ShxA
Noctua_fimbriata_ShxA15	ShxA
Noctua_fimbriata_ShxA16	ShxA
Noctua_fimbriata_ShxA17	ShxA
Noctua_fimbriata_ShxA18	ShxA
Noctua_fimbriata_ShxA19	ShxA
Noctua_fimbriata_ShxB	ShxB
Noctua_fimbriata_ShxB1	ShxB
Noctua_fimbriata_ShxB2	ShxB
Noctua_fimbriata_ShxB3	ShxB
Noctua_fimbriata_ShxC	ShxC
Noctua_fimbriata_ShxC1	ShxC
Noctua_fimbriata_ShxC2	ShxC
Noctua_fimbriata_ShxC3	ShxC
Noctua_fimbriata_Ubx	Ubx
Noctua_fimbriata_abd-A	abd-A
Noctua_fimbriata_ftz	ftz
Noctua_fimbriata_lab	lab
Noctua_fimbriata_zen	zen
Noctua_fimbriata_zen1	zen
Noctua_fimbriata_zen2	zen
Noctua_fimbriata_zen3	zen
Noctua_fimbriata_zen4	zen
Noctua_fimbriata_zen5	zen
Noctua_fimbriata_zen6	zen
Noctua_fimbriata_zen7	zen
Noctua_fimbriata_zen8	zen
Noctua_fimbriata_zen9	zen
Noctua_fimbriata_zen10	zen
Noctua_fimbriata_zen11	zen
Noctua_fimbriata_zen12	zen
Noctua_fimbriata_zen13	zen
Noctua_fimbriata_zen14	zen
Noctua_fimbriata_zen15	zen
Noctua_fimbriata_zen16	zen
Noctua_fimbriata_zen17	zen
Noctua_fimbriata_zen18	zen
Noctua_fimbriata_zen19	zen
Noctua_fimbriata_zen20	zen
Noctua_fimbriata_zen21	zen
Noctua_fimbriata_zen22	zen
Noctua_fimbriata_zen23	zen
Noctua_fimbriata_zen24	zen
Noctua_fimbriata_zen25	zen
Noctua_fimbriata_zen26	zen
Noctua_fimbriata_zen27	zen
Pararge_aegeria_Abd-B	Abd-B
Pararge_aegeria_Antp	Antp
Pararge_aegeria_Dfd	Dfd
Pararge_aegeria_Pb	Pb
Pararge_aegeria_Scr	Scr
Pararge_aegeria_ShxA	ShxA
Pararge_aegeria_ShxB	ShxB
Pararge_aegeria_ShxC	ShxC
Pararge_aegeria_ShxD	ShxD
Pararge_aegeria_Ubx	Ubx
Pararge_aegeria_abd-A	abd-A
Pararge_aegeria_ftz	ftz
Pararge_aegeria_lab	lab
Pararge_aegeria_zen	zen
Cosmia_trapezina_Abd-B	Abd-B
Cosmia_trapezina_Antp	Antp
Cosmia_trapezina_Dfd	Dfd
Cosmia_trapezina_Pb	Pb
Cosmia_trapezina_Scr	Scr
Cosmia_trapezina_ShxA	ShxA
Cosmia_trapezina_ShxB	ShxB
Cosmia_trapezina_ShxC	ShxC
Cosmia_trapezina_ShxD	ShxD
Cosmia_trapezina_Ubx	Ubx
Cosmia_trapezina_abd-A	abd-A
Cosmia_trapezina_ftz	ftz
Cosmia_trapezina_lab	lab
Cosmia_trapezina_zen	zen
Lymantria_monacha_Abd-B	Abd-B
Lymantria_monacha_Antp	Antp
Lymantria_monacha_Dfd	Dfd
Lymantria_monacha_Scr	Scr
Lymantria_monacha_ShxA	ShxA
Lymantria_monacha_ShxB	ShxB
Lymantria_monacha_ShxC	ShxC
Lymantria_monacha_ShxD	ShxD
Lymantria_monacha_Ubx	Ubx
Lymantria_monacha_abd-A	abd-A
Lymantria_monacha_ftz	ftz
Lymantria_monacha_lab	lab
Lymantria_monacha_zen	zen
Notocelia_uddmanniana_Abd-B	Abd-B
Notocelia_uddmanniana_Antp	Antp
Notocelia_uddmanniana_Dfd	Dfd
Notocelia_uddmanniana_Scr	Scr
Notocelia_uddmanniana_ShxA	ShxA
Notocelia_uddmanniana_ShxB	ShxB
Notocelia_uddmanniana_ShxC	ShxC
Notocelia_uddmanniana_ShxD	ShxD
Notocelia_uddmanniana_ShxD1	ShxD
Notocelia_uddmanniana_Ubx	Ubx
Notocelia_uddmanniana_abd-A	abd-A
Notocelia_uddmanniana_ftz	ftz
Notocelia_uddmanniana_lab	lab
Notocelia_uddmanniana_zen	zen
Celastrina_argiolus_Abd-B	Abd-B
Celastrina_argiolus_Antp	Antp
Celastrina_argiolus_Dfd	Dfd
Celastrina_argiolus_Scr	Scr
Celastrina_argiolus_ShxA	ShxA
Celastrina_argiolus_ShxB	ShxB
Celastrina_argiolus_ShxC	ShxC
Celastrina_argiolus_Ubx	Ubx
Celastrina_argiolus_abd-A	abd-A
Celastrina_argiolus_ftz	ftz
Celastrina_argiolus_lab	lab
Celastrina_argiolus_zen	zen
Vanessa_cardui_Abd-B	Abd-B
Vanessa_cardui_Antp	Antp
Vanessa_cardui_Dfd	Dfd
Vanessa_cardui_Pb	Pb
Vanessa_cardui_Scr	Scr
Vanessa_cardui_ShxA	ShxA
Vanessa_cardui_ShxB	ShxB
Vanessa_cardui_ShxC	ShxC
Vanessa_cardui_ShxD	ShxD
Vanessa_cardui_Ubx	Ubx
Vanessa_cardui_abd-A	abd-A
Vanessa_cardui_ftz	ftz
Vanessa_cardui_lab	lab
Vanessa_cardui_zen	zen
Deilephila_porcellus_Abd-B	Abd-B
Deilephila_porcellus_Antp	Antp
Deilephila_porcellus_Dfd	Dfd
Deilephila_porcellus_Pb	Pb
Deilephila_porcellus_Scr	Scr
Deilephila_porcellus_ShxA	ShxA
Deilephila_porcellus_ShxB	ShxB
Deilephila_porcellus_ShxC	ShxC
Deilephila_porcellus_ShxD	ShxD
Deilephila_porcellus_Ubx	Ubx
Deilephila_porcellus_abd-A	abd-A
Deilephila_porcellus_ftz	ftz
Deilephila_porcellus_lab	lab
Deilephila_porcellus_zen	zen
Lysandra_coridon_Abd-B	Abd-B
Lysandra_coridon_Antp	Antp
Lysandra_coridon_Dfd	Dfd
Lysandra_coridon_Scr	Scr
Lysandra_coridon_ShxA	ShxA
Lysandra_coridon_ShxB	ShxB
Lysandra_coridon_ShxC	ShxC
Lysandra_coridon_Ubx	Ubx
Lysandra_coridon_abd-A	abd-A
Lysandra_coridon_ftz	ftz
Lysandra_coridon_lab	lab
Lysandra_coridon_zen	zen
Mellicta_athalia_Abd-B	Abd-B
Mellicta_athalia_Antp	Antp
Mellicta_athalia_Dfd	Dfd
Mellicta_athalia_Pb	Pb
Mellicta_athalia_Scr	Scr
Mellicta_athalia_ShxA	ShxA
Mellicta_athalia_ShxB	ShxB
Mellicta_athalia_ShxC	ShxC
Mellicta_athalia_Ubx	Ubx
Mellicta_athalia_abd-A	abd-A
Mellicta_athalia_ftz	ftz
Mellicta_athalia_lab	lab
Mellicta_athalia_zen	zen
Melitaea_cinxia_Abd-B	Abd-B
Melitaea_cinxia_Antp	Antp
Melitaea_cinxia_Dfd	Dfd
Melitaea_cinxia_Scr	Scr
Melitaea_cinxia_ShxA	ShxA
Melitaea_cinxia_ShxA1	ShxA
Melitaea_cinxia_ShxB	ShxB
Melitaea_cinxia_ShxC	ShxC
Melitaea_cinxia_Ubx	Ubx
Melitaea_cinxia_abd-A	abd-A
Melitaea_cinxia_ftz	ftz
Melitaea_cinxia_lab	lab
Melitaea_cinxia_zen	zen
Tinea_trinotella_Abd-B	Abd-B
Tinea_trinotella_Antp	Antp
Tinea_trinotella_Dfd	Dfd
Tinea_trinotella_Scr	Scr
Tinea_trinotella_ShxA	ShxA
Tinea_trinotella_ShxB	ShxB
Tinea_trinotella_ShxC	ShxC
Tinea_trinotella_ShxD	ShxD
Tinea_trinotella_Ubx	Ubx
Tinea_trinotella_abd-A	abd-A
Tinea_trinotella_ftz	ftz
Tinea_trinotella_lab	lab
Tinea_trinotella_zen	zen
Lycaena_phlaeas_Abd-B	Abd-B
Lycaena_phlaeas_Antp	Antp
Lycaena_phlaeas_Dfd	Dfd
Lycaena_phlaeas_Pb	Pb
Lycaena_phlaeas_Scr	Scr
Lycaena_phlaeas_ShxA	ShxA
Lycaena_phlaeas_ShxB	ShxB
Lycaena_phlaeas_ShxC	ShxC
Lycaena_phlaeas_Ubx	Ubx
Lycaena_phlaeas_abd-A	abd-A
Lycaena_phlaeas_ftz	ftz
Lycaena_phlaeas_lab	lab
Lycaena_phlaeas_zen	zen
Maniola_jurtina_Abd-B	Abd-B
Maniola_jurtina_Antp	Antp
Maniola_jurtina_Dfd	Dfd
Maniola_jurtina_Pb	Pb
Maniola_jurtina_Scr	Scr
Maniola_jurtina_ShxA	ShxA
Maniola_jurtina_ShxB	ShxB
Maniola_jurtina_ShxC	ShxC
Maniola_jurtina_ShxD	ShxD
Maniola_jurtina_Ubx	Ubx
Maniola_jurtina_abd-A	abd-A
Maniola_jurtina_ftz	ftz
Maniola_jurtina_lab	lab
Maniola_jurtina_zen	zen
Hesperia_comma_Abd-B	Abd-B
Hesperia_comma_Antp	Antp
Hesperia_comma_Dfd	Dfd
Hesperia_comma_Scr	Scr
Hesperia_comma_ShxA	ShxA
Hesperia_comma_ShxB	ShxB
Hesperia_comma_ShxC	ShxC
Hesperia_comma_ShxD	ShxD
Hesperia_comma_Ubx	Ubx
Hesperia_comma_abd-A	abd-A
Hesperia_comma_ftz	ftz
Hesperia_comma_lab	lab
Hesperia_comma_zen	zen
Biston_betularia_Abd-B	Abd-B
Biston_betularia_Antp	Antp
Biston_betularia_Dfd	Dfd
Biston_betularia_Scr	Scr
Biston_betularia_ShxA	ShxA
Biston_betularia_ShxB	ShxB
Biston_betularia_ShxC	ShxC
Biston_betularia_ShxD	ShxD
Biston_betularia_Ubx	Ubx
Biston_betularia_abd-A	abd-A
Biston_betularia_ftz	ftz
Biston_betularia_lab	lab
Biston_betularia_zen	zen
Clostera_curtula_Abd-B	Abd-B
Clostera_curtula_Antp	Antp
Clostera_curtula_Dfd	Dfd
Clostera_curtula_Pb	Pb
Clostera_curtula_Scr	Scr
Clostera_curtula_ShxA	ShxA
Clostera_curtula_ShxA1	ShxA
Clostera_curtula_ShxB	ShxB
Clostera_curtula_ShxB1	ShxB
Clostera_curtula_ShxC	ShxC
Clostera_curtula_ShxD	ShxD
Clostera_curtula_Ubx	Ubx
Clostera_curtula_abd-A	abd-A
Clostera_curtula_ftz	ftz
Clostera_curtula_lab	lab
Clostera_curtula_zen	zen
Zygaena_filipendulae_Abd-B	Abd-B
Zygaena_filipendulae_Antp	Antp
Zygaena_filipendulae_Dfd	Dfd
Zygaena_filipendulae_Scr	Scr
Zygaena_filipendulae_ShxB	ShxB
Zygaena_filipendulae_ShxC	ShxC
Zygaena_filipendulae_Ubx	Ubx
Zygaena_filipendulae_abd-A	abd-A
Zygaena_filipendulae_ftz	ftz
Zygaena_filipendulae_lab	lab
Zygaena_filipendulae_zen	zen
Idaea_aversata_Abd-B	Abd-B
Idaea_aversata_Antp	Antp
Idaea_aversata_Dfd	Dfd
Idaea_aversata_Pb	Pb
Idaea_aversata_Scr	Scr
Idaea_aversata_ShxA	ShxA
Idaea_aversata_ShxB	ShxB
Idaea_aversata_ShxC	ShxC
Idaea_aversata_ShxD	ShxD
Idaea_aversata_Ubx	Ubx
Idaea_aversata_abd-A	abd-A
Idaea_aversata_ftz	ftz
Idaea_aversata_lab	lab
Idaea_aversata_zen	zen
Parapoynx_stratiotata_Abd-B	Abd-B
Parapoynx_stratiotata_Antp	Antp
Parapoynx_stratiotata_Dfd	Dfd
Parapoynx_stratiotata_Pb	Pb
Parapoynx_stratiotata_Scr	Scr
Parapoynx_stratiotata_ShxA	ShxA
Parapoynx_stratiotata_ShxB	ShxB
Parapoynx_stratiotata_ShxD	ShxD
Parapoynx_stratiotata_ShxD1	ShxD
Parapoynx_stratiotata_ShxD2	ShxD
Parapoynx_stratiotata_ShxD3	ShxD
Parapoynx_stratiotata_ShxD4	ShxD
Parapoynx_stratiotata_ShxD5	ShxD
Parapoynx_stratiotata_ShxD6	ShxD
Parapoynx_stratiotata_ShxD7	ShxD
Parapoynx_stratiotata_ShxD8	ShxD
Parapoynx_stratiotata_ShxD9	ShxD
Parapoynx_stratiotata_ShxD10	ShxD
Parapoynx_stratiotata_ShxD11	ShxD
Parapoynx_stratiotata_ShxD12	ShxD
Parapoynx_stratiotata_ShxD13	ShxD
Parapoynx_stratiotata_ShxD14	ShxD
Parapoynx_stratiotata_ShxD15	ShxD
Parapoynx_stratiotata_Ubx	Ubx
Parapoynx_stratiotata_abd-A	abd-A
Parapoynx_stratiotata_ftz	ftz
Parapoynx_stratiotata_lab	lab
Parapoynx_stratiotata_zen	zen
Bembecia_ichneumoniformis_Abd-B	Abd-B
Bembecia_ichneumoniformis_Antp	Antp
Bembecia_ichneumoniformis_Dfd	Dfd
Bembecia_ichneumoniformis_Scr	Scr
Bembecia_ichneumoniformis_ShxA	ShxA
Bembecia_ichneumoniformis_ShxA1	ShxA
Bembecia_ichneumoniformis_ShxA2	ShxA
Bembecia_ichneumoniformis_Ubx	Ubx
Bembecia_ichneumoniformis_abd-A	abd-A
Bembecia_ichneumoniformis_ftz	ftz
Bembecia_ichneumoniformis_lab	lab
Bembecia_ichneumoniformis_zen	zen
Ennomos_quercinarius_Abd-B	Abd-B
Ennomos_quercinarius_Antp	Antp
Ennomos_quercinarius_Dfd	Dfd
Ennomos_quercinarius_Pb	Pb
Ennomos_quercinarius_Scr	Scr
Ennomos_quercinarius_ShxA	ShxA
Ennomos_quercinarius_ShxB	ShxB
Ennomos_quercinarius_ShxC	ShxC
Ennomos_quercinarius_ShxD	ShxD
Ennomos_quercinarius_Ubx	Ubx
Ennomos_quercinarius_abd-A	abd-A
Ennomos_quercinarius_ftz	ftz
Ennomos_quercinarius_lab	lab
Ennomos_quercinarius_zen	zen
Carcina_quercana_Abd-B	Abd-B
Carcina_quercana_Antp	Antp
Carcina_quercana_Dfd	Dfd
Carcina_quercana_Scr	Scr
Carcina_quercana_ShxA	ShxA
Carcina_quercana_ShxB	ShxB
Carcina_quercana_ShxC	ShxC
Carcina_quercana_ShxD	ShxD
Carcina_quercana_Ubx	Ubx
Carcina_quercana_abd-A	abd-A
Carcina_quercana_ftz	ftz
Carcina_quercana_lab	lab
Carcina_quercana_zen	zen
Chrysoteuchia_culmella_Abd-B	Abd-B
Chrysoteuchia_culmella_Antp	Antp
Chrysoteuchia_culmella_Dfd	Dfd
Chrysoteuchia_culmella_Pb	Pb
Chrysoteuchia_culmella_Scr	Scr
Chrysoteuchia_culmella_ShxA	ShxA
Chrysoteuchia_culmella_ShxB	ShxB
Chrysoteuchia_culmella_ShxB1	ShxB
Chrysoteuchia_culmella_ShxD	ShxD
Chrysoteuchia_culmella_Ubx	Ubx
Chrysoteuchia_culmella_abd-A	abd-A
Chrysoteuchia_culmella_ftz	ftz
Chrysoteuchia_culmella_lab	lab
Chrysoteuchia_culmella_zen	zen
Acronicta_aceris_Abd-B	Abd-B
Acronicta_aceris_Antp	Antp
Acronicta_aceris_Dfd	Dfd
Acronicta_aceris_Dfd1	Dfd
Acronicta_aceris_Pb	Pb
Acronicta_aceris_Scr	Scr
Acronicta_aceris_ShxA	ShxA
Acronicta_aceris_ShxB	ShxB
