Species	Intergenic_dist
PieNapi	177202
PieNapi	228234
PieNapi	71648
PieNapi	50938
PieNapi	56411
PieNapi	67938
PieNapi	2100
PieNapi	2999
PieNapi	1616
PieNapi	4382
PieNapi	85839
LycPhla	334928
LycPhla	271553
LycPhla	322972
LycPhla	87532
LycPhla	79673
LycPhla	82074
LycPhla	98075
LycPhla	7110
LycPhla	3247
LycPhla	5347
LycPhla	113001
LycPhla	173419
CelArgi	315805
CelArgi	268153
CelArgi	296074
CelArgi	80026
CelArgi	63182
CelArgi	54785
CelArgi	91086
CelArgi	9798
CelArgi	2364
CelArgi	6765
CelArgi	98521
CelArgi	150895
GlaAlex	353513
GlaAlex	302862
GlaAlex	328829
GlaAlex	101163
GlaAlex	64757
GlaAlex	74343
GlaAlex	113654
GlaAlex	14670
GlaAlex	2076
GlaAlex	9179
GlaAlex	103779
GlaAlex	262011
PleArgu	299297
PleArgu	257596
PleArgu	324655
PleArgu	68537
PleArgu	76602
PleArgu	58891
PleArgu	69870
PleArgu	7347
PleArgu	2127
PleArgu	14053
PleArgu	91645
PleArgu	204829
CyaSemi	302838
CyaSemi	250072
CyaSemi	306951
CyaSemi	66463
CyaSemi	63225
CyaSemi	68135
CyaSemi	83213
CyaSemi	9449
CyaSemi	2462
CyaSemi	5414
CyaSemi	94267
CyaSemi	223588
AriAges	311509
AriAges	250447
AriAges	281594
AriAges	69680
AriAges	63769
AriAges	66923
AriAges	77690
AriAges	5624
AriAges	1695
AriAges	7173
AriAges	100849
AriAges	213929
LysBell	333189
LysBell	280653
LysBell	316190
LysBell	71560
LysBell	67076
LysBell	71337
LysBell	88078
LysBell	11749
LysBell	2441
LysBell	6356
LysBell	120793
LysBell	314617
LysCori	334394
LysCori	291135
LysCori	324338
LysCori	72164
LysCori	66823
LysCori	68575
LysCori	87979
LysCori	13611
LysCori	2547
LysCori	6388
LysCori	124796
LysCori	253030
ParAege	316254
ParAege	321625
ParAege	408728
ParAege	101072
ParAege	73151
ParAege	82508
ParAege	98174
ParAege	1345
ParAege	5261
ParAege	1952
ParAege	5915
ParAege	143257
ParAege	195875
MelGala	397407
MelGala	411474
MelGala	477037
MelGala	119988
MelGala	94332
MelGala	103080
MelGala	131610
MelGala	1378
MelGala	7406
MelGala	2131
MelGala	16036
MelGala	160978
MelGala	264135
EreLige	303358
EreLige	357803
EreLige	416395
EreLige	91551
EreLige	79536
EreLige	85221
EreLige	111786
EreLige	1439
EreLige	4275
EreLige	2268
EreLige	3691
EreLige	173210
EreLige	254309
ManJurt	295823
ManJurt	302660
ManJurt	385009
ManJurt	90880
ManJurt	70454
ManJurt	67752
ManJurt	82117
ManJurt	1370
ManJurt	5071
ManJurt	2159
ManJurt	6791
ManJurt	131377
ManJurt	154601
AphHype	320163
AphHype	303149
AphHype	413067
AphHype	92799
AphHype	66020
AphHype	80687
AphHype	83449
AphHype	1724
AphHype	5874
AphHype	2570
AphHype	4786
AphHype	124809
AphHype	151878
LimCami	239948
LimCami	227107
LimCami	292761
LimCami	79854
LimCami	58705
LimCami	65467
LimCami	78386
LimCami	2142
LimCami	3497
LimCami	2086
LimCami	3654
LimCami	99135
LimCami	155966
BolSele	217082
BolSele	191908
BolSele	233191
BolSele	70592
BolSele	44436
BolSele	54522
BolSele	68535
BolSele	1520
BolSele	2479
BolSele	1827
BolSele	3817
BolSele	81091
BolSele	149662
FabAdip	252225
FabAdip	237914
FabAdip	253769
FabAdip	78537
FabAdip	58052
FabAdip	79626
FabAdip	81960
FabAdip	1550
FabAdip	3099
FabAdip	1829
FabAdip	3509
FabAdip	95566
FabAdip	182996
MelCinx	255950
MelCinx	248960
MelCinx	293089
MelCinx	86761
MelCinx	69204
MelCinx	82835
MelCinx	88699
MelCinx	21205
MelCinx	4334
MelCinx	10409
MelCinx	7545
MelCinx	114901
MelCinx	186088
MelAtha	319426
MelAtha	267584
MelAtha	373795
MelAtha	92040
MelAtha	75484
MelAtha	71599
MelAtha	123969
MelAtha	6597
MelAtha	2318
MelAtha	14708
MelAtha	138043
MelAtha	274416
VanCard	224718
VanCard	218256
VanCard	249421
VanCard	72086
VanCard	53602
VanCard	59086
VanCard	76779
VanCard	1587
VanCard	1999
VanCard	1804
VanCard	4109
VanCard	83572
VanCard	119465
VanAtal	221226
VanAtal	210220
VanAtal	244642
VanAtal	69836
VanAtal	51297
VanAtal	64068
VanAtal	74116
VanAtal	1954
VanAtal	2496
VanAtal	2211
VanAtal	4325
VanAtal	85682
VanAtal	120471
NymPoly	225334
NymPoly	213819
NymPoly	254424
NymPoly	70943
NymPoly	53266
NymPoly	62172
NymPoly	73143
NymPoly	1504
NymPoly	2152
NymPoly	1918
NymPoly	5935
NymPoly	89111
NymPoly	129598
NymUrti	217300
NymUrti	207863
NymUrti	249791
NymUrti	70230
NymUrti	53630
NymUrti	68117
NymUrti	70209
NymUrti	1526
NymUrti	2059
NymUrti	1888
NymUrti	2963
NymUrti	83153
NymUrti	130114
InaIo	233455
InaIo	214313
InaIo	258633
InaIo	73046
InaIo	59395
InaIo	63706
InaIo	79769
InaIo	1556
InaIo	2409
InaIo	1842
InaIo	6150
InaIo	89326
InaIo	117301
EndFlam	286534
EndFlam	276362
EndFlam	318888
EndFlam	107073
EndFlam	72877
EndFlam	66086
EndFlam	79710
EndFlam	6583
EndFlam	3078
EndFlam	2762
EndFlam	3918
EndFlam	104132
EndFlam	184803
ChrCulm	309328
ChrCulm	288848
ChrCulm	346678
ChrCulm	119105
ChrCulm	81511
ChrCulm	98793
ChrCulm	138131
ChrCulm	23289
ChrCulm	2729
ChrCulm	2448
ChrCulm	5256
ChrCulm	136113
ChrCulm	268668
ParStra	263203
ParStra	273618
ParStra	306112
ParStra	98815
ParStra	66075
ParStra	72592
ParStra	99131
ParStra	21821
ParStra	3702
ParStra	3702
ParStra	3704
ParStra	3702
ParStra	3704
ParStra	3702
ParStra	3699
ParStra	3702
ParStra	3700
ParStra	3699
ParStra	3699
ParStra	3711
ParStra	3693
ParStra	3703
ParStra	3714
ParStra	2593
ParStra	7385
ParStra	6087
ParStra	123400
ParStra	180385
ThyBati	233025
ThyBati	188793
ThyBati	223436
ThyBati	68072
ThyBati	49927
ThyBati	54269
ThyBati	51729
ThyBati	3540
ThyBati	1366
ThyBati	1872
ThyBati	5964
ThyBati	77858
ThyBati	125813
HabPyri	272498
HabPyri	229424
HabPyri	264208
HabPyri	76365
HabPyri	53306
HabPyri	71665
HabPyri	74194
HabPyri	6227
HabPyri	1716
HabPyri	1875
HabPyri	4073
HabPyri	87996
HabPyri	139820
DeiPorc	289433
DeiPorc	244386
DeiPorc	286037
DeiPorc	91979
DeiPorc	63236
DeiPorc	68011
DeiPorc	87274
DeiPorc	2098
DeiPorc	2013
DeiPorc	1666
DeiPorc	3104
DeiPorc	99894
DeiPorc	193848
LaoPopu	362865
LaoPopu	297400
LaoPopu	381452
LaoPopu	119889
LaoPopu	77239
LaoPopu	78183
LaoPopu	95304
LaoPopu	3133
LaoPopu	3616
LaoPopu	1750
LaoPopu	4491
LaoPopu	128145
LaoPopu	292700
MimTili	347950
MimTili	285635
MimTili	365329
MimTili	111873
MimTili	78955
MimTili	72056
MimTili	101152
MimTili	3002
MimTili	3707
MimTili	1846
MimTili	3433
MimTili	118409
MimTili	200544
IdaAver	359220
IdaAver	294415
IdaAver	320935
IdaAver	94497
IdaAver	62866
IdaAver	65849
IdaAver	83324
IdaAver	3915
IdaAver	420
IdaAver	191
IdaAver	534
IdaAver	52
IdaAver	4668
IdaAver	4499
IdaAver	1839
IdaAver	1987
IdaAver	105179
IdaAver	4716929
PhiVetu	476613
PhiVetu	405586
PhiVetu	485848
PhiVetu	152003
PhiVetu	98420
PhiVetu	121799
PhiVetu	144041
PhiVetu	2737
PhiVetu	3642
PhiVetu	2251
PhiVetu	4907
PhiVetu	153899
PhiVetu	323672
HydFurc	337774
HydFurc	260054
HydFurc	339830
HydFurc	110186
HydFurc	70034
HydFurc	80932
HydFurc	78776
HydFurc	3539
HydFurc	3506
HydFurc	2275
HydFurc	2929
HydFurc	98904
HydFurc	174896
EulPrun	240372
EulPrun	205388
EulPrun	246177
EulPrun	70268
EulPrun	47064
EulPrun	52059
EulPrun	52339
EulPrun	2555
EulPrun	1701
EulPrun	1821
EulPrun	2257
EulPrun	71222
EulPrun	96244
PerRhom	347135
PerRhom	308363
PerRhom	393867
PerRhom	96697
PerRhom	68237
PerRhom	72869
PerRhom	94809
PerRhom	2841
PerRhom	3288
PerRhom	2196
PerRhom	3798
PerRhom	92231
PerRhom	153650
AgrAura	381368
AgrAura	394364
AgrAura	399915
AgrAura	115240
AgrAura	87297
AgrAura	72951
AgrAura	103416
AgrAura	2560
AgrAura	3728
AgrAura	1841
AgrAura	6504
AgrAura	126842
AgrAura	182482
EraDefo	373676
EraDefo	355378
EraDefo	418710
EraDefo	109912
EraDefo	79184
EraDefo	79274
EraDefo	105651
EraDefo	5085
EraDefo	4558
EraDefo	1833
EraDefo	5690
EraDefo	117929
EraDefo	179386
BisBetu	397196
BisBetu	344532
BisBetu	393282
BisBetu	106415
BisBetu	70350
BisBetu	75769
BisBetu	92080
BisBetu	3193
BisBetu	4542
BisBetu	4404
BisBetu	9325
BisBetu	2887
BisBetu	124712
BisBetu	132695
SelDent	427800
SelDent	431887
SelDent	494751
SelDent	161760
SelDent	124074
SelDent	109074
SelDent	145339
SelDent	7674
SelDent	7129
SelDent	2646
SelDent	4909
SelDent	160285
SelDent	387729
CamMarg	269262
CamMarg	255949
CamMarg	281995
CamMarg	86188
CamMarg	55283
CamMarg	58665
CamMarg	69844
CamMarg	4217
CamMarg	1968
CamMarg	2243
CamMarg	2491
CamMarg	90716
CamMarg	109559
HylFasc	263795
HylFasc	242790
HylFasc	258975
HylFasc	82361
HylFasc	68210
HylFasc	51424
HylFasc	63403
HylFasc	3861
HylFasc	1744
HylFasc	1948
HylFasc	3056
HylFasc	74996
HylFasc	134304
CroElin	344269
CroElin	347282
CroElin	354984
CroElin	89668
CroElin	73071
CroElin	80198
CroElin	96276
CroElin	6136
CroElin	3585
CroElin	2114
CroElin	4038
CroElin	98914
CroElin	162864
EnnFusc	346137
EnnFusc	302094
EnnFusc	369915
EnnFusc	99136
EnnFusc	86025
EnnFusc	63722
EnnFusc	89654
EnnFusc	4979
EnnFusc	3112
EnnFusc	2301
EnnFusc	3045
EnnFusc	116259
EnnFusc	168320
EnnQuei	363756
EnnQuei	308668
EnnQuei	356765
EnnQuei	97331
EnnQuei	129516
EnnQuei	82185
EnnQuei	114908
EnnQuei	3802
EnnQuei	3219
EnnQuei	1846
EnnQuei	3562
EnnQuei	111293
EnnQuei	201756
CloCurt	418772
CloCurt	312896
CloCurt	438692
CloCurt	121785
CloCurt	79264
CloCurt	84632
CloCurt	120295
CloCurt	2373
CloCurt	3756
CloCurt	3033
CloCurt	4709
CloCurt	9351
CloCurt	3601
CloCurt	133500
CloCurt	205469
FurFurc	445323
FurFurc	381209
FurFurc	453202
FurFurc	131688
FurFurc	89891
FurFurc	92006
FurFurc	123632
FurFurc	3047
FurFurc	4425
FurFurc	2350
FurFurc	4189
FurFurc	179153
FurFurc	267055
PhaBuce	426229
PhaBuce	362996
PhaBuce	457196
PhaBuce	147008
PhaBuce	102049
PhaBuce	111411
PhaBuce	130686
PhaBuce	2004
PhaBuce	2499
PhaBuce	2344
PhaBuce	2454
PhaBuce	6103
PhaBuce	2454
PhaBuce	6090
PhaBuce	2453
PhaBuce	2348
PhaBuce	2863
PhaBuce	6096
PhaBuce	2475
PhaBuce	2345
PhaBuce	2453
PhaBuce	2347
PhaBuce	2848
PhaBuce	2345
PhaBuce	5293
PhaBuce	2141
PhaBuce	3224
PhaBuce	5292
PhaBuce	2548
PhaBuce	2766
PhaBuce	5582
PhaBuce	185588
PhaBuce	297406
PheGnom	266173
PheGnom	219807
PheGnom	260041
PheGnom	76226
PheGnom	60314
PheGnom	57767
PheGnom	59547
PheGnom	2633
PheGnom	2110
PheGnom	2561
PheGnom	3395
PheGnom	82436
PheGnom	134569
PheTrem	276388
PheTrem	231723
PheTrem	291927
PheTrem	84274
PheTrem	53643
PheTrem	56375
PheTrem	60488
PheTrem	2259
PheTrem	1477
PheTrem	2219
PheTrem	3625
PheTrem	85147
PheTrem	121770
PtiCapc	307729
PtiCapc	250026
PtiCapc	317530
PtiCapc	89985
PtiCapc	57534
PtiCapc	65813
PtiCapc	72479
PtiCapc	2738
PtiCapc	1601
PtiCapc	2241
PtiCapc	3561
PtiCapc	94133
PtiCapc	149662
NotDrom	280814
NotDrom	238235
NotDrom	302348
NotDrom	84794
NotDrom	56986
NotDrom	59768
NotDrom	78786
NotDrom	3064
NotDrom	2302
NotDrom	2319
NotDrom	3739
NotDrom	89925
NotDrom	161059
NotZicz	295891
NotZicz	252189
NotZicz	295623
NotZicz	82409
NotZicz	56856
NotZicz	59198
NotZicz	76094
NotZicz	2496
NotZicz	2486
NotZicz	2322
NotZicz	3434
NotZicz	100573
NotZicz	162910
LymMona	610142
LymMona	533247
LymMona	635325
LymMona	184651
LymMona	148675
LymMona	144818
LymMona	165330
LymMona	2761
LymMona	10411
LymMona	4183
LymMona	22283
LymMona	257109
LymMona	445042
EupSimi	356605
EupSimi	277391
EupSimi	340798
EupSimi	117808
EupSimi	82418
EupSimi	67176
EupSimi	83091
EupSimi	11039
EupSimi	5939
EupSimi	4878
EupSimi	1683
EupSimi	8545
EupSimi	5525
EupSimi	13469
EupSimi	4586
EupSimi	5789
EupSimi	6620
EupSimi	5428
EupSimi	120148
EupSimi	202358
EupSimi	5081045
EupSimi	1001
EupSimi	2070
EupSimi	1776
EupSimi	3358
OrgAnti	406210
OrgAnti	310266
OrgAnti	410170
OrgAnti	104482
OrgAnti	97075
OrgAnti	75285
OrgAnti	97556
OrgAnti	15044
OrgAnti	3798
OrgAnti	14994
OrgAnti	126016
OrgAnti	210434
HypProb	349624
HypProb	335537
HypProb	395689
HypProb	120135
HypProb	83512
HypProb	91612
HypProb	107848
HypProb	3352
HypProb	2533
HypProb	3023
HypProb	5632
HypProb	111552
HypProb	209033
SchCost	366932
SchCost	312508
SchCost	350358
SchCost	100985
SchCost	74830
SchCost	90481
SchCost	91017
SchCost	4205
SchCost	4336
SchCost	3448
SchCost	12474
SchCost	3082
SchCost	7686
SchCost	3972
SchCost	126052
SchCost	194171
LasFlex	339502
LasFlex	284078
LasFlex	342127
LasFlex	98545
LasFlex	69902
LasFlex	65195
LasFlex	79709
LasFlex	3985
LasFlex	3079
LasFlex	2834
LasFlex	4148
LasFlex	100595
LasFlex	200158
SpiLutu	342178
SpiLutu	298328
SpiLutu	358012
SpiLutu	116974
SpiLutu	4795
SpiLutu	90430
SpiLutu	92739
SpiLutu	97295
SpiLutu	11647
SpiLutu	15430
SpiLutu	4507
SpiLutu	9485
SpiLutu	924
SpiLutu	9868
SpiLutu	28957
SpiLutu	5785
SpiLutu	10477
SpiLutu	5691
SpiLutu	8364
SpiLutu	10595
SpiLutu	5941
SpiLutu	4950
SpiLutu	6134
SpiLutu	5993
SpiLutu	8750
SpiLutu	6019
SpiLutu	12834
SpiLutu	7424
SpiLutu	135332
SpiLutu	226355
SpiLubr	349475
SpiLubr	302035
SpiLubr	351941
SpiLubr	110575
SpiLubr	83964
SpiLubr	85417
SpiLubr	97748
SpiLubr	6360
SpiLubr	10943
SpiLubr	11434
SpiLubr	16541
SpiLubr	14018
SpiLubr	4182
SpiLubr	18807
SpiLubr	8105
SpiLubr	16734
SpiLubr	17300
SpiLubr	8591
SpiLubr	7905
SpiLubr	146956
SpiLubr	286604
EilDepe	378710
EilDepe	316106
EilDepe	387344
EilDepe	131585
EilDepe	89193
EilDepe	86818
EilDepe	104642
EilDepe	9925
EilDepe	11551
EilDepe	10847
EilDepe	5222
EilDepe	16952
EilDepe	9302
EilDepe	8413
EilDepe	143080
EilDepe	281230
EilSoro	384052
EilSoro	342777
EilSoro	404031
EilSoro	114290
EilSoro	92467
EilSoro	101621
EilSoro	100753
EilSoro	8907
EilSoro	8195
EilSoro	27001
EilSoro	14126
EilSoro	23913
EilSoro	7411
EilSoro	10458
EilSoro	4817
EilSoro	6671
EilSoro	130257
EilSoro	317992
AbrTrip	276178
AbrTrip	230014
AbrTrip	265843
AbrTrip	83213
AbrTrip	54007
AbrTrip	60429
AbrTrip	63880
AbrTrip	3081
AbrTrip	1468
AbrTrip	2192
AbrTrip	2925
AbrTrip	90938
AbrTrip	134725
AutGamm	252057
AutGamm	218605
AutGamm	250096
AutGamm	75122
AutGamm	54217
AutGamm	59108
AutGamm	64585
AutGamm	2884
AutGamm	1469
AutGamm	2092
AutGamm	4247
AutGamm	75766
AutGamm	144920
AutPulc	266204
AutPulc	241400
AutPulc	268217
AutPulc	79550
AutPulc	53003
AutPulc	55541
AutPulc	65342
AutPulc	2911
AutPulc	1498
AutPulc	2262
AutPulc	3264
AutPulc	79451
AutPulc	139327
AcrAcer	309422
AcrAcer	276824
AcrAcer	310805
AcrAcer	98741
AcrAcer	65208
AcrAcer	71238
AcrAcer	5595
AcrAcer	88981
AcrAcer	4199
AcrAcer	2224
AcrAcer	2174
AcrAcer	3864
AcrAcer	99218
AcrAcer	182579
CraLigu	287560
CraLigu	248778
CraLigu	275154
CraLigu	92288
CraLigu	58444
CraLigu	64346
CraLigu	73586
CraLigu	4552
CraLigu	2061
CraLigu	2589
CraLigu	2972
CraLigu	94518
CraLigu	195961
AmpBerb	321978
AmpBerb	287667
AmpBerb	306187
AmpBerb	87719
AmpBerb	68735
AmpBerb	75647
AmpBerb	92277
AmpBerb	3971
AmpBerb	2587
AmpBerb	8545
AmpBerb	5105
AmpBerb	114374
AmpBerb	195960
AmpTrag	387410
AmpTrag	365686
AmpTrag	377359
AmpTrag	113883
AmpTrag	85114
AmpTrag	91477
AmpTrag	127003
AmpTrag	5688
AmpTrag	2672
AmpTrag	2584
AmpTrag	5824
AmpTrag	154377
AmpTrag	268033
HecDyso	311558
HecDyso	294277
HecDyso	315368
HecDyso	106430
HecDyso	69647
HecDyso	78887
HecDyso	103969
HecDyso	3885
HecDyso	1817
HecDyso	2771
HecDyso	9104
HecDyso	132108
HecDyso	205484
